uri_s,title_s,authFullName_s,docType_s,doiId_s,publicationDateY_i,producedDate_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.archives-ouvertes.fr/hal-02281239,Integration of Consumer Preferences and Heuristic Knowledge in the Design of Formulated Products: Application to a Cosmetic Emulsion,"Javier Arrieta-Escobar,Fernando Bernardo,Alvaro Orjuela,Mauricio Camargo,Laure Morel,Laurent Wendling",COUV,10.1016/B978-0-12-818634-3.50073-4,2019,2019,,,,en
https://hal.archives-ouvertes.fr/hal-01087867,Vers un apprentissage itératif à l'ingénierie système basée sur des modèles,"Gérard Morel,Fabien Bouffaron,Olivier Nartz,Frédérique Mayer,Pascale Marangé,Eric Levrat,Hervé Panetto",COMM,,2014,2014-11-05,,,"10ème Conférence Francophone de Modélisation, Optimisation et Simulation, MOSIM'14",fr
https://hal.archives-ouvertes.fr/hal-01061943v2,Integrative construct for model-based human-system integration: a case study,"Fabien Bouffaron,Jean-Marc Dupont,Frédérique Mayer,Gérard Morel",COMM,,2014,2014-08-24,,,"19th IFAC World Congress, IFAC'14",en
https://hal.archives-ouvertes.fr/hal-01448844,A categorization of customer concerns for an OT front-end of innovation process in an IT/OT convergence context,"Emilie Bonnetto,Bernard Yannou,Gwenola Bertoluci,Vincent Boly,Jorge Alvarez",COMM,,2016,2016-05-16,,,International Design Conference,en
https://hal.univ-lorraine.fr/hal-01522776,A Semantic Wiki to Share and Reuse Knowledge into Extended Enterprise,"Inaya Lahoud,Davy Monticolo,Vincent Hilaire",COMM,10.1109/SITIS.2014.112,2014,2014-11-23,,,10th International Conference on Signal-Image Technology and Internet-Based Systems (SITIS 2014),en
https://hal.univ-lorraine.fr/hal-01523136,Polymer Recycling and Additive Manufacturing in an Open Source context: Optimization of processes and methods,"Fabio Alberto Cruz Sanchez,Silvia Lanza,Hakim Boudaoud,Sandrine Hoppe,Mauricio Camargo",COMM,,2015,2015-08,,,"Annual International Solid Freeform Fabrication Symposium, ISSF 2015",en
https://hal.univ-lorraine.fr/hal-01522806,An Intelligent System based on Natural Language Processing to support the brain purge in the creativity process,"F. Issa,Davy Monticolo,Alex Gabriel,Simona Mihaita",COMM,,2014,2014-03-12,,,International MultiConference of Engineers and Computer Scientists 2014,en
https://hal.archives-ouvertes.fr/hal-01522833,Optimization of a complex urban intersection using discrete event simulation and evolutionary algorithms,"Adriana Simona Mihaita,Mauricio Camargo,Pascal Lhoste",COMM,10.3182/20140824-6-ZA-1003.01072,2014,2014-08-24,,,"19th IFAC World Congress, IFAC'14",en
https://hal.univ-lorraine.fr/hal-01522860,Preliminary hazard analysis generation integrated with operational architecture - application to automobile,"Pierre Mauborgne,Samuel Deniaud,Éric Levrat,Eric Bonjour,Jean-Pierre Micaëlli,Dominique Loise",COMM,10.1007/978-3-319-11617-4_21,2014,2014-11-12,,,"Fifth International Conference on Complex Systems Design & Management, CSD&M 2014",en
https://hal.univ-lorraine.fr/hal-01522877,Sustainability evaluation of a circulating fluidized bed boiler using Target‐Centred Design,"Olivier Chery,Mohammad Reza Mehrabani Golzar,Vincent Boly",COMM,,2016,2014-08-23,,,21st Chemical and process engineering. International congress - CHISA 2014,en
https://hal.univ-lorraine.fr/hal-01522897,How to adapt the innovation process to the context and objectives of the project,"Vincent Boly,Mauricio Camargo,Daniel Galvez,Johan Claire",COMM,,2015,2015-06-08,,,24th International Conference on Management of Technology,en
https://hal.univ-lorraine.fr/hal-01522737,Evaluation du potentiel de durabilité d’une chaudière à lit fluidisé circulant grâce à la Conception à Objectif Désigné (COD),"Olivier Chery,Mohammad Reza Mehrabani Golzar,Vincent Boly",COMM,,2013,2013-10-08,,,14ème Congrès SFGP 2013,en
https://hal.univ-lorraine.fr/hal-01522718,A semantic wiki to support knowledge sharing in innovation activities Lecture Notes in Electrical Engineering,"Inaya Lahoud,Davy Monticolo,Vincent Hilaire,Samuel Gomes",COMM,,2012,2012-03-14,,,International MultiConference of Engineers and Computer Scientists 2012,en
https://hal.univ-lorraine.fr/hal-01522730,Conception d’un réseau logistique inverse pour la méthanisation de biomasse,"S Mohamed,Daniel Galvez,Auguste Rakotondranaivo,Laure Morel,Mauricio Camargo,Michel Fick",COMM,,2013,2013-10-08,,,14ème Congrès SFGP 2013,en
https://hal.univ-lorraine.fr/hal-01522757,A new innovation project maturity assessment methodology based on innovation degree,"Johan Claire,Daniel Galvez\,,Vincent Boly,Mauricio Camargo",COMM,10.1109/ICE.2014.6871614,2014,2014-06-23,,,"International ICE Conference on Engineering, Technology and Innovation (ICE), 2014",en
https://hal.univ-lorraine.fr/hal-01522780,An Agent Based Approach to Annotate Ideas during Creativity Challenges in an Engineering School of Innovation,"Davy Monticolo,T. K. Chang,Inaya Lahoud",COMM,,2014,2014-11-24,,,1st International Workshop on Educational Knowledge Management (EKM 2014),en
https://hal.univ-lorraine.fr/hal-01522848,"Learn different\, learn somewhere else. Does changing the environment impact students' learning?","Raphaël Bary,Mike Rees,J Galland",COMM,,2014,2014-09-15,,,SEFI 2014 Annual Conference,en
https://hal.univ-lorraine.fr/hal-01522865,Process modelling for a creative problem solving support system,"Alex Gabriel,Mauricio Camargo,Davy Monticolo,Mario Bourgault",COMM,10.1109/IDAM.2014.6912691,2014,2014-08-13,,,International Conference on Innovative Design and Manufacturing (ICIDM) 2014,en
